id,farm_id,location_id,metric_code,value,status,quality_score,recorded_at,created_at
147,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-02-02 00:00:00+00,2025-08-09 06:58:58.765837+00
148,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.5000,normal,1.00,2025-02-03 00:00:00+00,2025-08-09 06:58:58.765837+00
149,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-02-04 00:00:00+00,2025-08-09 06:58:58.765837+00
150,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-02-05 00:00:00+00,2025-08-09 06:58:58.765837+00
151,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-02-06 00:00:00+00,2025-08-09 06:58:58.765837+00
152,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-02-07 00:00:00+00,2025-08-09 06:58:58.765837+00
153,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.2000,normal,1.00,2025-02-08 00:00:00+00,2025-08-09 06:58:58.765837+00
154,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-02-09 00:00:00+00,2025-08-09 06:58:58.765837+00
155,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.0500,normal,1.00,2025-02-10 00:00:00+00,2025-08-09 06:58:58.765837+00
156,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.0300,normal,1.00,2025-02-11 00:00:00+00,2025-08-09 06:58:58.765837+00
157,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-02-12 00:00:00+00,2025-08-09 06:58:58.765837+00
158,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-02-13 00:00:00+00,2025-08-09 06:58:58.765837+00
159,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.3000,normal,1.00,2025-02-14 00:00:00+00,2025-08-09 06:58:58.765837+00
160,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ph,6.4000,normal,1.00,2025-02-15 00:00:00+00,2025-08-09 06:58:58.765837+00
